,Dis guy,20,Art
1,John Doe,21,Computer Science
2,,20,ART
3,Oarabile Mbewe,22,Medicine
4,Oarabile,20,Psychology
5,Existing people,20,Medicine
6,Sarah Wilson,18,Business
7,David Lee,21,Computer Science
8,Olivia Taylor,19,English Literature
9,Matthew Anderson,22,Computer Science
10,Isabella Garcia,20,Psychology
11,Christopher Hernandez,21,Mechanical Engineering
12,Sophia Diaz,19,Business
13,Daniel Sanchez,22,Computer Science
14,Ava Reyes,20,Psychology
15,Joshua Morales,21,Mechanical Engineering
16,Mia Flores,19,Business
17,Ethan Gutierrez,22,Computer Science
18,Emma Ramirez,20,Psychology
19,Jacob Gonzalez,21,Mechanical Engineering
20,Mic Man,25,Art
21,Oarabile Mbewe,20,Bachalor of Computing
22,Kwevs Glacious,44,BIT
23,Glory Goat,23,Bcom
24,Chief King,29,BIT
25,Lion King,29,BIT
26,KFC pizza,22,Bcom
27,Nandos zanzou,21,DIT
28,Kabza DEsmall,28,PIano
29,Lady Du,31,PIano
30,Pabbi cooper,29,PIano
